,Dex,Pokemon,Chance,Chance percentage,end
0,599,Klink,1/175,0.5704,5704.0
1,669,Flabébé,1/175,0.5704,11408.0
2,506,Lillipup,1/175,0.5704,17112.0
3,582,Vanillite,1/175,0.5704,22816.0
4,187,Hoppip,1/175,0.5704,28520.0
5,137,Porygon,1/175,0.5704,34224.0
6,396,Starly,1/175,0.5704,39928.0
7,74,Geodude,1/175,0.5704,45632.0
8,41,Zubat,1/175,0.5704,51336.0
9,535,Tympole,1/175,0.5704,57040.0
10,43,Oddish,1/175,0.5704,62744.0
11,885,Dreepy,1/175,0.5704,68448.0
12,92,Gastly,1/175,0.5704,74152.0
13,679,Honedge,1/175,0.5704,79856.0
14,602,Tynamo,1/175,0.5704,85560.0
15,607,Litwick,1/175,0.5704,91264.0
16,610,Axew,1/175,0.5704,96968.0
17,761,Bounsweet,1/175,0.5704,102672.0
18,216,Teddiursa,1/175,0.5704,108376.0
19,355,Duskull,1/175,0.5704,114080.0
20,328,Trapinch,1/175,0.5704,119784.0
21,116,Horsea,1/175,0.5704,125488.0
22,69,Bellsprout,1/175,0.5704,131192.0
23,731,Pikipek,1/175,0.5704,136896.0
24,111,Rhyhorn,1/175,0.5704,142600.0
25,403,Shinx,1/175,0.5704,148304.0
26,66,Machop,1/175,0.5704,154008.0
27,60,Poliwag,1/175,0.5704,159712.0
28,661,Fletchling,1/175,0.5704,165416.0
29,664,Scatterbug,1/175,0.5704,171120.0
30,63,Abra,1/175,0.5704,176824.0
31,577,Solosis,1/175,0.5704,182528.0
32,821,Rookidee,1/175,0.5704,188232.0
33,32,Nidoran♂️,1/175,0.5704,193936.0
34,16,Pidgey,1/175,0.5704,199640.0
35,280,Ralts,1/175,0.5704,205344.0
36,540,Sewaddle,1/175,0.5704,211048.0
37,273,Seedot,1/175,0.5704,216752.0
38,859,Impidimp,1/175,0.5704,222456.0
39,532,Timburr,1/175,0.5704,228160.0
40,543,Venipede,1/175,0.5704,233864.0
41,856,Hatenna,1/175,0.5704,239568.0
42,10,Caterpie,1/175,0.5704,245272.0
43,551,Sandile,1/175,0.5704,250976.0
44,270,Lotad,1/175,0.5704,256680.0
45,13,Weedle,1/175,0.5704,262384.0
46,524,Roggenrola,1/175,0.5704,268088.0
47,287,Slakoth,1/175,0.5704,273792.0
48,736,Grubbin,1/175,0.5704,279496.0
49,574,Gothita,1/175,0.5704,285200.0
50,175,Togepi,1/175,0.5704,290904.0
51,81,Magnemite,1/175,0.5704,296608.0
52,265,Wurmple,1/175,0.5704,302312.0
53,293,Whismur,1/175,0.5704,308016.0
54,837,Rolycoly,1/175,0.5704,313720.0
55,519,Pidove,1/175,0.5704,319424.0
56,363,Spheal,1/175,0.5704,325128.0
57,179,Mareep,1/175,0.5704,330832.0
58,304,Aron,1/175,0.5704,336536.0
59,220,Swinub,1/175,0.5704,342240.0
60,29,Nidoran♀️,1/175,0.5704,347944.0
61,824,Blipbug,1/175,0.5704,353648.0
62,371,Bagon,1/263,0.3803,359352.0
63,704,Goomy,1/263,0.3803,363155.0
64,374,Beldum,1/263,0.3803,366958.0
65,633,Deino,1/263,0.3803,370761.0
66,246,Larvitar,1/263,0.3803,374564.0
67,443,Gible,1/263,0.3803,378367.0
68,782,Jangmo-o,1/263,0.3803,382170.0
69,19,Rattata,1/263,0.3803,385973.0
70,147,Dratini,1/263,0.3803,389776.0
71,656,Froakie,1/526,0.1901,393579.0
72,393,Piplup,1/526,0.1901,395480.0
73,158,Totodile,1/526,0.1901,397381.0
74,155,Cyndaquil,1/526,0.1901,399282.0
75,390,Chimchar,1/526,0.1901,401183.0
76,501,Oshawott,1/526,0.1901,403084.0
77,152,Chikorita,1/526,0.1901,404985.0
78,653,Fennekin,1/526,0.1901,406886.0
79,498,Tepig,1/526,0.1901,408787.0
80,495,Snivy,1/526,0.1901,410688.0
81,650,Chespin,1/526,0.1901,412589.0
82,1,Bulbasaur,1/526,0.1901,414490.0
83,387,Turtwig,1/526,0.1901,416391.0
84,816,Sobble,1/526,0.1901,418292.0
85,4,Charmander,1/526,0.1901,420193.0
86,7,Squirtle,1/526,0.1901,422094.0
87,722,Rowlet,1/526,0.1901,423995.0
88,252,Treecko,1/526,0.1901,425896.0
89,725,Litten,1/526,0.1901,427797.0
90,810,Grookey,1/526,0.1901,429698.0
91,728,Popplio,1/526,0.1901,431599.0
92,258,Mudkip,1/526,0.1901,433500.0
93,813,Scorbunny,1/526,0.1901,435401.0
94,255,Torchic,1/526,0.1901,437302.0
95,388,Grotle,1/701,0.1426,439203.0
96,305,Lairon,1/701,0.1426,440629.0
97,509,Purrloin,1/701,0.1426,442055.0
98,307,Meditite,1/701,0.1426,443481.0
99,507,Herdier,1/701,0.1426,444907.0
100,315,Roselia,1/701,0.1426,446333.0
101,309,Electrike,1/701,0.1426,447759.0
102,504,Patrat,1/701,0.1426,449185.0
103,502,Dewott,1/701,0.1426,450611.0
104,499,Pignite,1/701,0.1426,452037.0
105,496,Servine,1/701,0.1426,453463.0
106,316,Gulpin,1/701,0.1426,454889.0
107,511,Pansage,1/701,0.1426,456315.0
108,517,Munna,1/701,0.1426,457741.0
109,513,Pansear,1/701,0.1426,459167.0
110,515,Panpour,1/701,0.1426,460593.0
111,281,Kirlia,1/701,0.1426,462019.0
112,529,Drilbur,1/701,0.1426,463445.0
113,527,Woobat,1/701,0.1426,464871.0
114,525,Boldore,1/701,0.1426,466297.0
115,283,Surskit,1/701,0.1426,467723.0
116,285,Shroomish,1/701,0.1426,469149.0
117,288,Vigoroth,1/701,0.1426,470575.0
118,290,Nincada,1/701,0.1426,472001.0
119,522,Blitzle,1/701,0.1426,473427.0
120,294,Loudred,1/701,0.1426,474853.0
121,520,Tranquill,1/701,0.1426,476279.0
122,296,Makuhita,1/701,0.1426,477705.0
123,299,Nosepass,1/701,0.1426,479131.0
124,300,Skitty,1/701,0.1426,480557.0
125,459,Snover,1/701,0.1426,481983.0
126,318,Carvanha,1/701,0.1426,483409.0
127,320,Wailmer,1/701,0.1426,484835.0
128,456,Finneon,1/701,0.1426,486261.0
129,353,Shuppet,1/701,0.1426,487687.0
130,412,Burmy,1/701,0.1426,489113.0
131,345,Lileep,1/701,0.1426,490539.0
132,410,Shieldon,1/701,0.1426,491965.0
133,347,Anorith,1/701,0.1426,493391.0
134,408,Cranidos,1/701,0.1426,494817.0
135,404,Luxio,1/701,0.1426,496243.0
