Dex,Pokemon,Chance,Chance percentage
599,Klink,1/175,0.5704
669,Flabébé,1/175,0.5704
506,Lillipup,1/175,0.5704
582,Vanillite,1/175,0.5704
187,Hoppip,1/175,0.5704
137,Porygon,1/175,0.5704
396,Starly,1/175,0.5704
74,Geodude,1/175,0.5704
41,Zubat,1/175,0.5704
535,Tympole,1/175,0.5704
43,Oddish,1/175,0.5704
885,Dreepy,1/175,0.5704
92,Gastly,1/175,0.5704
679,Honedge,1/175,0.5704
602,Tynamo,1/175,0.5704
607,Litwick,1/175,0.5704
610,Axew,1/175,0.5704
761,Bounsweet,1/175,0.5704
216,Teddiursa,1/175,0.5704
355,Duskull,1/175,0.5704
328,Trapinch,1/175,0.5704
116,Horsea,1/175,0.5704
69,Bellsprout,1/175,0.5704
731,Pikipek,1/175,0.5704
111,Rhyhorn,1/175,0.5704
403,Shinx,1/175,0.5704
66,Machop,1/175,0.5704
60,Poliwag,1/175,0.5704
661,Fletchling,1/175,0.5704
664,Scatterbug,1/175,0.5704
63,Abra,1/175,0.5704
577,Solosis,1/175,0.5704
821,Rookidee,1/175,0.5704
32,Nidoran♂️,1/175,0.5704
16,Pidgey,1/175,0.5704
280,Ralts,1/175,0.5704
540,Sewaddle,1/175,0.5704
273,Seedot,1/175,0.5704
859,Impidimp,1/175,0.5704
532,Timburr,1/175,0.5704
543,Venipede,1/175,0.5704
856,Hatenna,1/175,0.5704
10,Caterpie,1/175,0.5704
551,Sandile,1/175,0.5704
270,Lotad,1/175,0.5704
13,Weedle,1/175,0.5704
524,Roggenrola,1/175,0.5704
287,Slakoth,1/175,0.5704
736,Grubbin,1/175,0.5704
574,Gothita,1/175,0.5704
175,Togepi,1/175,0.5704
81,Magnemite,1/175,0.5704
265,Wurmple,1/175,0.5704
293,Whismur,1/175,0.5704
837,Rolycoly,1/175,0.5704
519,Pidove,1/175,0.5704
363,Spheal,1/175,0.5704
179,Mareep,1/175,0.5704
304,Aron,1/175,0.5704
220,Swinub,1/175,0.5704
29,Nidoran♀️,1/175,0.5704
824,Blipbug,1/175,0.5704
371,Bagon,1/263,0.3803
704,Goomy,1/263,0.3803
374,Beldum,1/263,0.3803
633,Deino,1/263,0.3803
246,Larvitar,1/263,0.3803
443,Gible,1/263,0.3803
782,Jangmo-o,1/263,0.3803
19,Rattata,1/263,0.3803
147,Dratini,1/263,0.3803
656,Froakie,1/526,0.1901
393,Piplup,1/526,0.1901
158,Totodile,1/526,0.1901
155,Cyndaquil,1/526,0.1901
390,Chimchar,1/526,0.1901
501,Oshawott,1/526,0.1901
152,Chikorita,1/526,0.1901
653,Fennekin,1/526,0.1901
498,Tepig,1/526,0.1901
495,Snivy,1/526,0.1901
650,Chespin,1/526,0.1901
1,Bulbasaur,1/526,0.1901
387,Turtwig,1/526,0.1901
816,Sobble,1/526,0.1901
4,Charmander,1/526,0.1901
7,Squirtle,1/526,0.1901
722,Rowlet,1/526,0.1901
252,Treecko,1/526,0.1901
725,Litten,1/526,0.1901
810,Grookey,1/526,0.1901
728,Popplio,1/526,0.1901
258,Mudkip,1/526,0.1901
813,Scorbunny,1/526,0.1901
255,Torchic,1/526,0.1901
388,Grotle,1/701,0.1426
305,Lairon,1/701,0.1426
509,Purrloin,1/701,0.1426
307,Meditite,1/701,0.1426
507,Herdier,1/701,0.1426
315,Roselia,1/701,0.1426
309,Electrike,1/701,0.1426
504,Patrat,1/701,0.1426
502,Dewott,1/701,0.1426
499,Pignite,1/701,0.1426
496,Servine,1/701,0.1426
316,Gulpin,1/701,0.1426
511,Pansage,1/701,0.1426
517,Munna,1/701,0.1426
513,Pansear,1/701,0.1426
515,Panpour,1/701,0.1426
281,Kirlia,1/701,0.1426
529,Drilbur,1/701,0.1426
527,Woobat,1/701,0.1426
525,Boldore,1/701,0.1426
283,Surskit,1/701,0.1426
285,Shroomish,1/701,0.1426
288,Vigoroth,1/701,0.1426
290,Nincada,1/701,0.1426
522,Blitzle,1/701,0.1426
294,Loudred,1/701,0.1426
520,Tranquill,1/701,0.1426
296,Makuhita,1/701,0.1426
299,Nosepass,1/701,0.1426
300,Skitty,1/701,0.1426
459,Snover,1/701,0.1426
318,Carvanha,1/701,0.1426
320,Wailmer,1/701,0.1426
456,Finneon,1/701,0.1426
353,Shuppet,1/701,0.1426
412,Burmy,1/701,0.1426
345,Lileep,1/701,0.1426
410,Shieldon,1/701,0.1426
347,Anorith,1/701,0.1426
408,Cranidos,1/701,0.1426
404,Luxio,1/701,0.1426
349,Feebas,1/701,0.1426
401,Kricketot,1/701,0.1426
343,Baltoy,1/701,0.1426
399,Bidoof,1/701,0.1426
356,Dusclops,1/701,0.1426
397,Staravia,1/701,0.1426
361,Snorunt,1/701,0.1426
394,Prinplup,1/701,0.1426
364,Sealeo,1/701,0.1426
391,Monferno,1/701,0.1426
415,Combee,1/701,0.1426
418,Buizel,1/701,0.1426
366,Clamperl,1/701,0.1426
431,Glameow,1/701,0.1426
453,Croagunk,1/701,0.1426
322,Numel,1/701,0.1426
451,Skorupi,1/701,0.1426
449,Hippopotas,1/701,0.1426
447,Riolu,1/701,0.1426
325,Spoink,1/701,0.1426
436,Bronzor,1/701,0.1426
427,Buneary,1/701,0.1426
341,Corphish,1/701,0.1426
329,Vibrava,1/701,0.1426
425,Drifloon,1/701,0.1426
331,Cacnea,1/701,0.1426
422,Shellos,1/701,0.1426
333,Swablu,1/701,0.1426
339,Barboach,1/701,0.1426
420,Cherubi,1/701,0.1426
533,Gurdurr,1/701,0.1426
585,Deerling,1/701,0.1426
536,Palpitoad,1/701,0.1426
767,Wimpod,1/701,0.1426
759,Stufful,1/701,0.1426
757,Salandit,1/701,0.1426
755,Morelull,1/701,0.1426
753,Fomantis,1/701,0.1426
751,Dewpider,1/701,0.1426
749,Mudbray,1/701,0.1426
747,Mareanie,1/701,0.1426
744,Rockruff,1/701,0.1426
742,Cutiefly,1/701,0.1426
739,Crabrawler,1/701,0.1426
737,Charjabug,1/701,0.1426
734,Yungoos,1/701,0.1426
732,Trumbeak,1/701,0.1426
729,Brionne,1/701,0.1426
726,Torracat,1/701,0.1426
723,Dartrix,1/701,0.1426
714,Noibat,1/701,0.1426
712,Bergmite,1/701,0.1426
710,Pumpkaboo,1/701,0.1426
708,Phantump,1/701,0.1426
698,Amaura,1/701,0.1426
696,Tyrunt,1/701,0.1426
694,Helioptile,1/701,0.1426
762,Steenee,1/701,0.1426
769,Sandygast,1/701,0.1426
690,Skrelp,1/701,0.1426
886,Drakloak,1/701,0.1426
872,Snom,1/701,0.1426
860,Morgrem,1/701,0.1426
857,Hattrem,1/701,0.1426
854,Sinistea,1/701,0.1426
852,Clobbopus,1/701,0.1426
850,Sizzlipede,1/701,0.1426
848,Toxel,1/701,0.1426
846,Arrokuda,1/701,0.1426
843,Silicobra,1/701,0.1426
840,Applin,1/701,0.1426
838,Carkol,1/701,0.1426
835,Yamper,1/701,0.1426
833,Chewtle,1/701,0.1426
831,Wooloo,1/701,0.1426
829,Gossifleur,1/701,0.1426
